Id,Pandal Name,Image Link,District,Locality,street,established,description,address,latitude,Maplink,website
0,Shri Kasba Ganpati Sarvajanik Ganeshotsav Mandal,https://i0.wp.com/hindupad.com/wp-content/uploads/2011/09/kasba-ganpati-temple-pune.jpg,Pune,Kasba Peth,Kasba Peth Rd,1893,"Established in 1893, this idol holds the status of presiding deity among all Ganesh Mandals in Pune. The Kasba Ganpati is the first one to be immersed and is fittingly called the “Manacha Pahila Ganpati” or the most revered Ganpati. The festivities at this Mandal is a must-watch.","159, Kasba Peth Rd, Durvankur Society, Phadke Haud, Kasba Peth, Pune, Maharashtra 411011","18.519013694300543, 73.85708956867586","https://www.google.com/maps/place/18%C2%B031'08.5%22N+73%C2%B051'25.5%22E/@18.5190188,73.8549009,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xf094032f855916b7!8m2!3d18.5190137!4d73.8570896",http://www.kasbaganpati.org/
1,Tambdi Jogeshwari Ganpati,https://st1.latestly.com/wp-content/uploads/2019/08/Tambdi-Jogeshwari-Ganpati-781x441.jpg,Pune,Budhwar Peth,Budhwar Peth,1893,"This is one of the Ganpati’s started by Lokmanya Tilak in 1893. The head of the idol at Tambdi Jogeshwari Ganpati resembles that of an African elephant. This idol has remained the same since it’s inception and has been made by a single family over 4 generations. The Tambdi Jogeshwari Ganpati is known as the ‘Gramdevata of Pune,’ (Protector of Pune). The celebrations at this temple are very traditional so don’t expect any Bollywood numbers or item songs playing at this Mandal.","Yogeshwari Trust, 33 (A, Budhwar Peth, Pune, Maharashtra 411002","18.516574593605057, 73.85488456809713","https://www.google.com/maps/place/18%C2%B030'59.7%22N+73%C2%B051'17.6%22E/@18.5165797,73.8526959,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xf4a4d2620a3623c!8m2!3d18.5165746!4d73.8548846",https://shreetambadijogeshwari.org/
2,Guruji Talim Ganpati,https://c8.alamy.com/zooms/9/b9803124d4db40548e96dc0b6561bbe4/fg0mt6.jpg,Pune,Budhwar Peth,Laxmi Rd,1887,This mandal has a unique history of being started by one Hindu and one Muslim family in 1887. Guruji Talim Ganpati is said to be the oldest mandal in Pune which started even before Lokmanya Tilak revived the Ganpati festival. This mandal plays a crucial role in spreading communal harmony since it started. It is given the third preference in the immersion procession.,"184, Laxmi Rd, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002","18.51520650792969, 73.85558129751227","https://www.google.com/maps/place/18%C2%B030'54.7%22N+73%C2%B051'20.1%22E/@18.5152116,73.8533926,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5ba99f50af40935!8m2!3d18.5152065!4d73.8555813",NA
3,Tulshibaug Ganpati,https://i.pinimg.com/originals/5e/b2/d6/5eb2d60c7cf3dd43a44a6250604fad65.jpg,Pune,Budhwar Peth,Tulshibaug,1901,Tulshibaug Ganpati is the largest Ganpati idol in Pune and stands at 15 feet tall. The mandal pays respect to the women of the Tulshi Baug market who help to bring in the revenue at his market. Tulshibaug Ganpati has a unique theme every year but they don’t spend much on being lavish. A good part of the donations goes for various social causes.,"Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002","18.51428024029375, 73.85545568402216","https://www.google.com/maps/place/18%C2%B030'51.4%22N+73%C2%B051'19.6%22E/@18.5142853,73.853267,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x119d59b9b3dd1a2d!8m2!3d18.5142802!4d73.8554557",NA
4,Kesari Wada Ganpati,https://live.staticflickr.com/4089/5032723644_fa266c2b68_n.jpg,Pune,Narayan Peth,Kelkar Road,1893,This pandal was formed in 1893 by Lokmanya Tilak. It has the privilege of being the fifth most honored Ganpati in Pune. This pandal is well-known among locals for its social and cultural activities for children and other devotees.,"577, NC Kelkar Road, Narayan Peth, Pune, Maharashtra 411030","18.515849775164792, 73.84894219756238","https://www.google.com/maps/place/18%C2%B030'57.1%22N+73%C2%B050'56.2%22E/@18.5142853,73.853267,17z/data=!4m5!3m4!1s0x0:0x49bcbd9810f837ef!8m2!3d18.5158498!4d73.8489422",NA
5,Dagdusheth Halwai Ganpati,https://www.dagdushethganpati.com/wp-content/uploads/2019/08/Shreemant-Dagadusheth-Wallpaper-Desktop-1920X1080_1.jpg,Pune,Budhwar Peth,Chhatrapati Shivaji Maharaj Rd,1893,"This Mandal is one of the most popular mandals among the devotees. Established in 1893, this mandal is visited by celebrities as well as locals. Dagduseth Halwai pandal plays an important role in identifying Pune’s cultural significance. This Mandal also holds the crown of the richest Ganpati in Pune.","Ganpati Bhavan, 250, Chhatrapati Shivaji Maharaj Rd, Mehunpura, Budhwar Peth, Pune, Maharashtra 411002","18.5165979153817, 73.85612119756232","https://www.google.com/maps/place/18%C2%B030'59.8%22N+73%C2%B051'22.0%22E/@18.516603,73.8539325,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x69152b7e604b6a21!8m2!3d18.5165979!4d73.8561212",https://www.dagdushethganpati.com/
6,Hutatma Babu Genu Ganesh Mandal Trust,https://i.ytimg.com/vi/F5jFP789lIk/maxresdefault.jpg,Pune,Budhwar Peth,Tulshibaug Internal Rd,1970,"This Mandal was established in 1970 and is named after a famous freedom fighter. It is believed to fulfill all your wishes and also has a wishing pond, ‘Iccha Poorti Kund‘ where devotees throw coins and make a wish.","GV74+HH2, Tulshibaug Internal Rd, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002","18.513909234578318, 73.8563888975623","https://www.google.com/maps/place/18%C2%B030'50.1%22N+73%C2%B051'23.0%22E/@18.5139143,73.8542002,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x97741aa3d14e6359!8m2!3d18.5139092!4d73.8563889",NA
7,jilbya maruti ganpati mandir,https://live.staticflickr.com/96/231999332_51f11adfca_b.jpg,Pune,Shukrawar Peth,Mandai,1954,This mandal was established in 1954 and is famous for its lively Ganesh idol. It is also known as ‘Navasacha Ganpati’. This Ganpati idol is also believed to fulfill all your wishes.,"Jilbya Maruti Chowk, Mandai, Shukrawar Peth, Pune, Maharashtra 411002","18.513452588893315, 73.85509008510762","https://www.google.com/maps/place/18%C2%B030'48.4%22N+73%C2%B051'18.3%22E/@18.5134577,73.8529014,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x9f9d5cd25c267804!8m2!3d18.5134526!4d73.8550901",NA
8,Shrimant Bhausaheb Rangari Mandal,https://pixahive.com/wp-content/uploads/2020/09/Shrimant-Bhausaheb-Rangari-Ganapati-52632-pixahive-683x1024.jpg,Pune,Budhwar Peth,Bhau Rangari Road,1892,"This mandal is the oldest sarvajanik mandal set up in India. Established in 1892, this mandal is well known for its eco-friendly idols. This mandal was formed by Bhausaheb Laxman Javale or as he was popularly known as Bhau Rangari.","662, 657, Bhau Rangari Road, Budhwar Peth, Pune, Maharashtra 411002","18.517591154234076, 73.85529103988917","https://www.google.com/maps/place/18%C2%B031'03.3%22N+73%C2%B051'19.1%22E/@18.5134577,73.8529014,17z/data=!4m5!3m4!1s0x0:0xace49bef96f776a7!8m2!3d18.5175912!4d73.855291",https://www.shrimantbhausahebrangariganpati.com/
9,Akhil Mandai Mandal,https://live.staticflickr.com/1875/43803304325_0b1425c593_b.jpg,Pune,Shukrawar Peth,Mandai,1894,Akhil Mandai Mandal is one of the most important mandals in Pune. This mandal is thronged by thousands of devotees from the city as well as other cities of Maharashtra. It is also well known for its extravagant and beautiful decor.,"Phatakwada Society, Mandai, Shukrawar Peth, Pune, Maharashtra 411002","18.511876877056956, 73.85614889756228","https://www.google.com/maps/place/18%C2%B030'42.8%22N+73%C2%B051'22.1%22E/@18.5175963,73.8531023,17z/data=!4m5!3m4!1s0x0:0xe2e3762b986dbda5!8m2!3d18.5118769!4d73.8561489",https://www.akhilmandaimandal.org/
